addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0,0,0,0,0,0,0.005866275290434438,0,0,0,0,0,0.10809438158721865,0.1284729147659252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03299145951094483,0,0,0.009533309880104044,0,0,0.0006911000496082333,0,0,0.0385587544153928,0.014646808987289043,0,0,0,0,0,0,0.0151175816385826,0,0,0,0,0,0.12343560753737857,0.028989424506443567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3857974114044434,0,0,0.11414148283812935,0,0,0.2182394232403258,0,0,0.36122450190869315,0.26389214697374785
0,0,0,0,0,0,0.0057453615595193,0,0,0,0,0,0.10311277739923286,0.10708404671997787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029092991238464816,0,0,0.009657378238450946,0,0,-0.0012178363203431586,0,0,0.03452552611116356,0.013487564245267161,0,0,0,0,0,0,0.01408587214559772,0,0,0,0,0,0.11541311011038745,0.031415761599811166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4193932611135762,0,0,0.10964901609700903,0,0,0.21623679388262204,0,0,0.3885704748154947,0.27700128523759315
0,0,0,0,0,0,0.005664095365261611,0,0,0,0,0,0.09754689570744861,0.08763235380876515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025178601436740902,0,0,0.009804450453690113,0,0,-0.0025647794720033475,0,0,0.031000977871477927,0.012478063572454111,0,0,0,0,0,0,0.013033592677340338,0,0,0,0,0,0.10822383056864117,0.033947243655067696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44936279291178605,0,0,0.10455690781302045,0,0,0.2129235723834326,0,0,0.41205902472855294,0.2885654084386661
0,0,0,0,0,0,0.005621776932498906,0,0,0,0,0,0.09142483703635326,0.07032472826330055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021376570846521517,0,0,0.009977698877814663,0,0,-0.003143760048844042,0,0,0.028027649147637064,0.011635430872565933,0,0,0,0,0,0,0.012003825317513189,0,0,0,0,0,0.10219492312994652,0.036521660060300096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4746672722519957,0,0,0.09902589584372934,0,0,0.20854165932797042,0,0,0.4309727041791722,0.2981917300258455
0,0,0,0,0,0,0.005614390810307445,0,0,0,0,0,0.0848024262988248,0.05527698534768984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017799130534342532,0,0,0.010178124216916997,0,0,-0.002746564041235286,0,0,0.025610103291629414,0.010967535624782794,0,0,0,0,0,0,0.01103383540079002,0,0,0,0,0,0.09754912556748865,0.03905764513462226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49441508050609917,0,0,0.09323997918724967,0,0,0.20331191209207614,0,0,0.44471930713346336,0.30552073490599524
0,0,0,0,0,0,0.00563512759709312,0,0,0,0,0,0.07776641235582797,0.042518199608597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014537342503464364,0,0,0.010404197271885214,0,0,-0.001174536858391867,0,0,0.023717348314360665,0.010473252221476074,0,0,0,0,0,0,0.010153624621344623,0,0,0,0,0,0.09439811971526668,0.04146018117802008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5079239965442223,0,0,0.08739940437813461,0,0,0.19742360231806863,0,0,0.45285874974277085,0.31024693266699255
0,0,0,0,0,0,0.005675149186369084,0,0,0,0,0,0.07043388373010936,0.031999890498077645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011657957896806832,0,0,0.010651588378348235,0,0,0.0017483137807383694,0,0,0.022288026859688982,0.010143154047952616,0,0,0,0,0,0,0.00938508311635265,0,0,0,0,0,0.0927464491923871,0.04362913837087179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5147725013563167,0,0,0.0817112533231109,0,0,0.19102992980721284,0,0,0.45512869227585645,0.3121422877540179
0,0,0,0,0,0,0.005724524044457205,0,0,0,0,0,0.06294784038951809,0.023608067901993747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009202280381077453,0,0,0.010913000229335047,0,0,0.006161555419743236,0,0,0.021237966263894858,0.009960607879130001,0,0,0,0,0,0,0.00874172282226111,0,0,0,0,0,0.09250572901413805,0.04547052651856549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5148334215937289,0,0,0.07637814093761489,0,0,0.18424748879040445,0,0,0.451466093403083,0.3110796590623797
0,0,0,0,0,0,0.005773239225997622,0,0,0,0,0,0.055469334242285874,0.0171766157193362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007186897160247028,0,0,0.011178113102742549,0,0,0.01215474023539975,0,0,0.020469463459578955,0.009903211597398109,0,0,0,0,0,0,0.008228949881947792,0,0,0,0,0,0.09351778497540247,0.0469097929281297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5082858561346673,0,0,0.07158547095243323,0,0,0.17715890996311984,0,0,0.44201901740184757,0.3070521806854598
0,0,0,0,0,0,0.0058121806553490035,0,0,0,0,0,0.04816697314958875,0.012500969899779349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005606001737059141,0,0,0.011433657465841221,0,0,0.019755018778153853,0,0,0.01988145001733197,0.009944506394826564,0,0,0,0,0,0,0.007844786828825044,0,0,0,0,0,0.09558417751302167,0.04790614384209397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49560464111147134,0,0,0.06748765124676785,0,0,0.16981888110233295,0,0,0.42714339620616454,0.30018439237661493
